module.state_technical_error|Technical error - Lengow
order_setting.screen.import_setting_description|Manage your import settings here for marketplace orders 
order_setting.screen.nb_days|days
order_setting.screen.cron_title|Cron settings
order_setting.screen.cron_description|Use the  Crontab Module to import orders from Lengow
order_setting.screen.cron_not_configured|Cron import is not configured in your PrestaShop
order_setting.screen.cron_configured|Cron Import exists in your PrestaShop
order_setting.screen.cron_if_not_exists|or
order_setting.screen.cron_install_plugin|You can install the 'Crontab' PrestaShop Plugin
order_setting.screen.cron_manual_installation|If you are using an unix system, you can use unix crontab as follows:
order_setting.screen.button_add_country|Add
order_setting.screen.button_cancel_country|Cancel
order_setting.screen.please_select_carrier|Please select a carrier...
order_setting.screen.default_carrier|Default carrier
order_setting.screen.no_default_carrier_selected|No default carrier selected
order_setting.screen.confirmation_delete_carrier_country|Are you sure ?
global_setting.screen.notification_alert_title|Notifications & alerts
global_setting.screen.preprod_mode_title|Pre-production Mode
global_setting.screen.preprod_mode_description|Use pre-production mode for testing and to simulate fictitious orders. Please note that you have to activate this setting on your pre-production server ONLY 
global_setting.screen.log_file_title|Log Files
global_setting.screen.log_file_description|Find all the maintenance logs below (imported orders, errors reports...). They will be recorded here for 20 days.
global_setting.screen.please_choose_log|Please choose a log file...
global_setting.screen.download_all_files|Download all files
global_setting.screen.uninstall_module|Uninstall the entire module
global_setting.screen.uninstall_module_description|Uninstall the entire module and all related data here
global_setting.screen.all_data_will_be_lost|All data will be lost (tables and configuration) and you will lose order history
global_setting.screen.you_will_find_a_backup|After removing the module, you will find a back-up of your Lengow database in
global_setting.screen.prestashop_backup|PrestaShop Backup
global_setting.screen.i_want_uninstall|I want to uninstall the Lengow module
global_setting.screen.button_i_want_uninstall|Uninstall Lengow Module
global_setting.screen.title_modal_uninstall|Uninstall Lengow Module
global_setting.screen.cancel_i_want_uninstall|Cancel
global_setting.screen.to_uninstall_type|To uninstall, type
global_setting.screen.i_am_sure|I AM SURE
global_setting.screen.button_download_file|Download log files
global_setting.screen.button_save|Save changes
global_setting.screen.plugin_deleting|Deleting...
global_setting.screen.plugin_deleted|Delete!
global_setting.screen.setting_saving|Saving...
global_setting.screen.setting_saved|Saved!
help.screen.title|Get a little help from your support team !
help.screen.contain_text_support|Ask us anything about Lengow or share your feedback at 
help.screen.mail_lengow_support|support.lengow.zendesk@lengow.com.
help.screen.mail_lengow_support_title|Account Information:
help.screen.mailto_subject|Prestashop Lengow Plugin #Need assistance
help.screen.need_some_help|Need some help?
help.screen.contain_text_support_hour|We’ll do our best to get back to you during regular business hours (Monday to Friday – 9am to 6pm / France Timezone).
help.screen.find_answer|You can also find answers in our 
help.screen.link_prestashop_guide|PrestaShop dedicated guide
legals.screen.simplified_company|Simplified limited liability company
legals.screen.social_capital|Social capital:
legals.screen.cnil_declaration|CNIL declaration:
legals.screen.company_registration_number|Company Registration Number, Nantes:
legals.screen.vat_identification_number|VAT identification number:
legals.screen.address|Address
legals.screen.contact|Contact
legals.screen.hosting|Hosting
lengow_setting.lengow_account_id_title|Account ID
lengow_setting.lengow_access_token_title|Access Token
lengow_setting.lengow_secret_token_title|Secret Token
lengow_setting.lengow_shop_active_title|Activate Shop
lengow_setting.lengow_shop_token_title|Shop Token
lengow_setting.lengow_export_selection_enabled_title|Export the selection only
lengow_setting.lengow_export_selection_enabled_legend|Activate this option if you do not want to export all of your avaible products. Then, only select the products you want to export
lengow_setting.lengow_export_variation_enabled_title|Export product variations
lengow_setting.lengow_export_variation_enabled_legend|If you don't want to export all of your products' variations, disable this option
lengow_setting.lengow_export_format_title|Export the default format
lengow_setting.lengow_export_file_enabled_title|Export in a file
lengow_setting.lengow_export_file_enabled_legend|You should use this option if you have 3,000 products or more
lengow_setting.lengow_export_legacy_enabled_title|Export with legacy feed
lengow_setting.lengow_export_legacy_enabled_legend|Compatibility with old Lengow versions
lengow_setting.lengow_last_export_title|Last export
lengow_setting.lengow_order_id_process_title|Orders in preparation
lengow_setting.lengow_order_id_shipped_title|Shipped orders
lengow_setting.lengow_order_id_cancel_title|Cancelled orders
lengow_setting.lengow_order_id_shippedbymp_title|Shipped marketplace orders
lengow_setting.lengow_import_force_product_title|Force products
lengow_setting.lengow_import_force_product_legend|Enable this option if you want to force the importing of out of stock/inactive products
lengow_setting.lengow_import_days_title|Re-import all orders made since:
lengow_setting.lengow_import_days_legend|Activate this option if you have incorrect pending orders. It lets you re-import all orders that have been processed during this faulty period
lengow_setting.lengow_import_processing_fee_title|Import processing fee
lengow_setting.lengow_import_processing_fee_legend|Enable this option if you want to have marketplace processing fee inside your order
lengow_setting.lengow_import_preprod_enabled_title|Activate Pre-production Mode
lengow_setting.lengow_import_ship_mp_enabled_title|Import orders shipped by marketplaces
lengow_setting.lengow_import_stock_ship_mp_title|I want to decrease my stock
lengow_setting.lengow_import_stock_ship_mp_legend|Use this option to take into account your marketplaces orders on your stock in your PrestaShop backoffice
lengow_setting.lengow_report_mail_enabled_title|I would like to be notified when there are issues regarding order importation and/or catalogue exportation
lengow_setting.lengow_report_mail_address_title|Mail for the report email
lengow_setting.lengow_report_mail_address_legend|To add several emails, use " ; " to separate them
lengow_setting.lengow_import_single_enabled_title|Limited to one order per import process
lengow_setting.lengow_import_single_enabled_legend|Useful for PrestaShop versions from 1.5.2 to 1.5.4.* (avoids importing orders twice)
lengow_setting.lengow_import_in_progress_title|Import in progress
lengow_setting.lengow_last_import_cron_title|Last Cron import
lengow_setting.lengow_last_import_manual_title|Last manual import
lengow_setting.lengow_cron_enabled_title|Use Crontab module PrestaShop
lengow_setting.lengow_global_token_title|Lengow global Token
lengow_setting.lengow_authorized_ip_title|Authorised IP
lengow_setting.lengow_authorized_ip_legend|Authorized IP separated by:
lengow_setting.lengow_tracking_enabled_title|Activate Lengow tracking
lengow_setting.lengow_tracking_id_title|Lengow Tracking ID
lengow_setting.lengow_order_stat_title|Order statistics
lengow_setting.lengow_order_stat_update_title|Order statistics update
lengow_setting.lengow_account_status_title|Account status
lengow_setting.lengow_account_status_update_title|Account status update
lengow_log.error.nb_order_imported|%{nb_order} order(s) imported
lengow_log.error.nb_order_updated|%{nb_order} order(s) updated
lengow_log.error.nb_order_with_error|%{nb_order} order(s) with errors
lengow_log.error.no_notification|No new notification on order
lengow_log.error.account_id_empty|Account ID, Access Token or Secret is empty in shop %{name_shop} (%{id_shop})
lengow_log.error.account_id_already_used|account ID %{account_id} is already used by shop %{name_shop} (%{id_shop})
lengow_log.error.import_in_progress|import has already begun
lengow_log.error.rest_time_to_import|Please wait %{rest_time} seconds before re-importing orders
lengow_log.error.no_product|Lengow error: no products in the order
lengow_log.error.no_change_rate|Lengow error: no exchange rates available for order prices
lengow_log.error.no_currency|Lengow error: no currency in the order
lengow_log.error.currency_not_available|currency %{currency_iso} is not available in your shop
lengow_log.error.no_country_for_delivery_address|Lengow error: delivery address doesn't contain the country
lengow_log.error.no_billing_address|no billing address in the order
lengow_log.error.no_country_for_billing_address|Lengow error: billing address doesn't contain the country
lengow_log.error.order_not_found|Lengow error: order cannot be found in Lengow feed
lengow_log.exception.product_not_be_found|product %{product_id} could not be found
lengow_log.exception.product_is_a_parent|product %{product_id} is a parent ID. Product variation is needed
lengow_log.exception.no_product_to_cart|no product to be added to cart
lengow_log.exception.cannot_add_product_to_cart|cannot add product %{product_id} to cart (invalid ID format)
lengow_log.exception.no_quantity_for_product|product %{product_id} could not be added to cart. Make sure it is available for order or that there enough in stock
lengow_log.exception.no_connection_webservice|connection didn't work with the Lengow webservice in shop %{name_shop} (%{id_shop})
lengow_log.exception.crendentials_not_valid|account ID, token access or secret token are not valid in shop %{name_shop} (%{id_shop})
lengow_log.exception.error_lengow_webservice|Lengow webservice: %{error_code} - %{error_message} in shop %{name_shop} (%{id_shop})
lengow_log.exception.order_list_is_empty|order could not be saved
lengow_log.exception.carrier_shipping_address_no_country|shipping address doesn't contain the country
lengow_log.exception.no_default_carrier_for_country|you must select a default carrier for the country : %{country_name}
lengow_log.exception.marketplace_not_present|Lengow error: the marketplace %{markeplace_name} does not feature in the marketplace list
lengow_log.exception.order_line_required|order line is required but cannot be not found in order
lengow_log.exception.action_not_valid|action %{action} is not valid
lengow_log.exception.marketplace_action_not_present|marketplace actions %{action} are not present
lengow_log.exception.shop_id_require|shop ID is required
lengow_log.exception.marketplace_name_require|marketplace name is required
lengow_log.exception.no_delivery_country_in_order|can't find the delivery country in the order
lengow_log.exception.match_carrier_with_country|you need to match the carrier %{carrier_name} with the country %{country_name}
lengow_log.exception.arg_is_required|can't ship order: %{arg_name} is required
lengow_log.exception.action_is_too_old|order action is too old. Please retry the call
lengow_log.exception.cannot_load_order_status|cannot load order status
lengow_log.exception.order_creation_failed|PrestaShop order creation failed
lengow_log.exception.payment_module_not_active|payment module is not active
lengow_log.exception.cart_cannot_be_loaded|cart cannot be loaded, or an order has already been placed using this cart
lengow_log.exception.delivery_country_not_active|the country in the delivery address is not active
lengow_log.exception.product_is_not_listed|product %{product_id} is not listed as part of the current order
lengow_log.exception.unable_to_save_order|unable to save PrestaShop order - %{error}
lengow_log.exception.unable_to_save_order_payment|unable to save PrestaShop order payment
lengow_log.exception.timeout_api|API call has been blocked by a timeout
lengow_log.mail_report.order|Order %{marketplace_sku}
lengow_log.mail_report.no_error_in_report_mail|no error message, contact support via https://supportlengow.zendesk.com/agent/
admin.order.import_lengow|Import Lengow
admin.order.imported_from_lengow|This order has been imported from Lengow
admin.order.lengow_order_id|Lengow order ID
admin.order.marketplace|Marketplace
admin.order.feed_id|Feed ID
admin.order.total_paid|Total amount paid on Marketplace
admin.order.carrier_from_marketplace|Carrier from marketplace
admin.order.method_from_marketplace|Shipping method from marketplace
admin.order.tracking_number|Tracking number
admin.order.customer_email|Customer email
admin.order.message|Message
admin.order.shipped_by_marketplace|Shipped by marketplace
admin.order.cancel_and_reimport|Re-import order
admin.order.check_cancel_and_reimport|Do you really want to re-import the order?
admin.order.synchronize_id|Synchronize ID
admin.order.resend_action|Resend Action
admin.order.check_resend_action|Do you really want to send the action %{action}?
log.install.install_tab|install tab %{class_name}
log.install.uninstall_tab|uninstall tab %{class_name}
log.hook.registering_hook_success|registering hook - %{hook}: success
log.hook.registering_hook_error|registering hook - %{hook}: error
log.cron.creation_success|Lengow import cron task sucessfully created
log.cron.creation_error|Lengow import cron task could not be created
log.cron.delete_success|cron task(s) sucessfully removed
log.cron.delete_error|import and/or export cron task(s) could not be removed
log.mail_report.send_mail_to|report email sent to %{emails}
log.mail_report.unable_send_mail_to|unable to send report email to %{emails}
log.export.start|## start export ##
log.export.end|## end export ##
log.export.start_for_shop|start export in shop %{name_shop} (%{id_shop})
log.export.nb_product_found|%{nb_product} product(s) found
log.export.count_product|%{product_count} product(s) exported
log.export.export_failed|export failed - %{decoded_message}
log.export.your_feed_available_here|your feed is available here: <a href='%{feed_url}' target='_blank'>%{feed_url}</a>
log.export.error_folder_not_writable|export file generation did not end properly. Please make sure the export folder is writable
log.export.error_no_product_combination|unable to retrieve product combinations
log.export.error_illegal_currency|illegal currency
log.export.error_no_carrier_selected|you must select a default carrier in Lengow import parameters
log.export.error_illegal_export_format|illegal export format
log.export.error_unable_to_create_folder|unable to create folder %{folder_path}. Make sure it is writable
log.export.error_unable_to_create_file|unable to create file %{file_name} in %{folder_name}
log.export.error_cant_find_image_size|can't find image type size, check your table ps_image_type
log.import.preprod_mode_active|warning ! Pre-prod mode is activated
log.import.start|## start %{type} import ##
log.import.end|## end %{type} import ##
log.import.start_for_shop|start import in shop %{name_shop} (%{id_shop})
log.import.find_one_order|%{nb_order} order found for order ID: %{marketplace_sku} and markeplace: %{markeplace_name} with account ID: %{account_id}
log.import.find_all_orders|%{nb_order} order(s) found with account ID: %{account_id}
log.import.nb_order_imported|%{nb_order} order(s) imported
log.import.nb_order_updated|%{nb_order} order(s) updated
log.import.nb_order_with_error|%{nb_order} order(s) with errors
log.import.connector_get_order|get order with order id: %{marketplace_sku} and marketplace: %{markeplace_name}
log.import.connector_get_all_order|get orders between %{date_from} and %{date_to} for the account ID: %{account_id}
log.import.error_already_created|%{decoded_message} (created on the %{date_message})
log.import.external_id_exist|already imported in a PrestaShop with the order ID %{order_id}
log.import.order_shipped_by_marketplace|order shipped by %{markeplace_name}
log.import.current_order_state_unavailable|current order's status [%{order_state_marketplace}] makes it unavailable to import for marketplace %{marketplace_name}
log.import.order_successfully_imported|order successfully imported (ORDER ID %{order_id})
log.import.import_failed|import failed - %{decoded_message}
log.import.order_import_failed|import order failed - %{decoded_message}
log.import.lengow_order_saved|order saved in Lengow orders table
log.import.lengow_order_not_saved|WARNING ! Order could NOT be saved in Lengow orders table
log.import.lengow_order_updated|order updated in Lengow orders table
log.import.lengow_order_not_updated|WARNING ! Order could NOT be updated in Lengow orders table
log.import.lengow_order_line_saved|save order lines product: %{order_line_saved}
log.import.quantity_back_shipped_by_marketplace|adding quantity back to stock (order shipped by marketplace)
log.import.quantity_back_reimported_order|adding quantity back to stock (order is re-imported)
log.import.order_already_imported|order already imported (ORDER ID %{order_id})
log.import.order_ready_to_reimport|order is ready to be re-imported (ORDER ID %{order_id})
log.import.order_state_updated|order's status has been updated to %{state_name}
log.import.state_updated_to|status updated to %{state_name}
log.import.rewrite_processing_fee|rewrite amount without processing fee
log.import.rewrite_shipping_cost|rewrite amount without shipping cost
log.import.generate_unique_email|generate unique email %{email}
log.import.product_be_found|product id %{id_full} found with field %{attribute_name} (%{attribute_value})
log.import.product_advanced_search|product not found with field %{attribute_name} (%{attribute_value}). Using advanced search
log.import.product_state_canceled|product %{product_id} could not be added to cart - status: %{state_product}
log.import.error_order_state_updated|error while updating status: %{error_message}
log.import.error_no_package|import order failed - no package in the order
log.import.error_wrong_package_number|import order failed - wrong package number
log.import.error_no_delivery_address|import order failed - no delivery address in the order
log.import.error_carrier_not_found|carrier %{carrier_name} could not be found in your PrestaShop
log.import.error_mondial_relay_not_found|relay %{id_relay} could not be found
log.import.error_mondial_relay_missing_file|missing file %{ps_module_dir}mondialrelay/classes/MRRelayDetail.php
log.import.error_colissimo_missing_file|missing file %{ps_module_dir}socolissimo/classes/SCFields.php
log.import.carrier_compatibility_ensured|carrier compatibility ensured with carrier %{carrier_name}
log.import.order_synchronized_with_lengow|order successfully synchronised with Lengow webservice (ORDER ID %{order_id})
log.import.order_not_synchronized_with_lengow|WARNING ! Order could NOT be synchronised with Lengow webservice (ORDER ID %{order_id})
log.order_action.start_for_shop|check finish actions in shop %{name_shop} (%{id_shop})
log.order_action.start_not_sent_for_store|check actions not sent in shop %{name_shop} (%{id_shop})
log.order_action.try_to_send_action|try to send %{action} action (ORDER ID %{order_id})
log.order_action.action_send|action %{action} successfully sent (ORDER ID %{order_id})
log.order_action.action_not_send|WARNING ! action %{action} could not be sent (ORDER ID %{order_id})
log.order_action.call_tracking|call tracking save in lengow_actions table
log.order_action.can_not_load_order|order action failed - Can't load order
log.order_action.call_action_failed|order action failed - %{decoded_message}
log.connector.call_api|call %{curl_url}
log.connector.error_api|call api failed - %{error_code}
log.setting.setting_reset|All Lengow settings were reset
log.setting.setting_updated|All Lengow settings were updated
log.setting.setting_change|%{key} - old value %{old_value} replaced with %{value}
log.setting.setting_change_for_shop|%{key} - old value %{old_value} replaced with %{value} for shop %{shop_id}
toolbox.menu.lengow_toolbox|Lengow Toolbox
toolbox.menu.product|Products
toolbox.menu.order|Orders
toolbox.menu.configuration|Configuration
toolbox.menu.checksum|Checksum
toolbox.menu.log|Logs
toolbox.menu.log_off|Log out
toolbox.index.checklist_information|Checklist
toolbox.index.curl_message|Lengow needs the CURL PHP extension
toolbox.index.curl_help|The CURL extension is not installed or enabled in your PHP installation. Check the manual to get more information on how to install or enable CURL on your system
toolbox.index.curl_help_link|http://www.php.net/manual/en/curl.setup.php
toolbox.index.curl_help_label|Go to Curl PHP extension manual
toolbox.index.simple_xml_message|Lengow needs the SimpleXML PHP extension
toolbox.index.simple_xml_help|The SimpleXML extension is not installed or enabled in your PHP installation. Check the manual to get more information on how to install or enable SimpleXML on your system
toolbox.index.simple_xml_help_link|http://www.php.net/manual/en/book.simplexml.php
toolbox.index.simple_xml_help_label|Go to SimpleXML PHP extension manual
toolbox.index.json_php_message|Lengow needs the JSON PHP extension
toolbox.index.json_php_help|The JSON extension is not installed or enabled in your PHP installation
toolbox.index.json_php_help_link|http://www.php.net/manual/fr/book.json.php
toolbox.index.json_php_help_label|Go to JSON PHP extension manual
toolbox.index.shop_functionality_message|Shop functionality
toolbox.index.shop_functionality_help|Shop functionalities are disabled, order import is impossible: please enable them in the products settings section
toolbox.index.mail_configuration_enabled|Email are enabled with custom settings
toolbox.index.email_desactived|Email are disabled
toolbox.index.error_mail_setting|Error on email settings: PS_MAIL_METHOD is 3 but this value is not allowed in Prestashop 1.4
toolbox.index.email_using_php_mail|Email using php mail function
toolbox.index.checksum_message|Plugin files check
toolbox.index.checksum_help|Some files have been changed by the customer
toolbox.index.checksum_help_label|Go to Checksum page
toolbox.index.global_information|Global information
toolbox.index.prestashop_version|PrestaShop version
toolbox.index.plugin_version|Plugin version
toolbox.index.ip_server|Server IP
toolbox.index.ip_authorized|IP authorised
toolbox.index.preprod_disabled|Pre-production mode disabled
toolbox.index.cron_enable|Cron job set in the Crontab module
toolbox.index.import_information|Import information (Global)
toolbox.index.global_token|Import token
toolbox.index.url_import|Import URL
toolbox.index.import_in_progress|Import in progress
toolbox.index.no_import|No import in progress
toolbox.index.rest_time_to_import|wait %{rest_time} seconds before the next import
toolbox.index.shop_last_import|Last import
toolbox.index.shop_type_import|Last import type
toolbox.index.last_import_none|none
toolbox.index.last_import_cron|Cron
toolbox.index.last_import_manual|manual
toolbox.index.export_information|Export information (by store)
toolbox.index.shop_active|Shop followed by Lengow
toolbox.index.shop_export_token|Export token
toolbox.index.shop_last_export|Last export
toolbox.index.shop_product_total|Products available in the shop
toolbox.index.shop_product_exported|Products exported in the shop
toolbox.index.url_export|Export URL for this shop
toolbox.order.shop|Shop
toolbox.order.markeplace_name|Marketplace
toolbox.order.order_sku|Sku order
toolbox.order.delivery_address_id|Delivery address ID
toolbox.order.import_one_order|Import order
toolbox.order.import_days|Import days
toolbox.order.import_shop_order|Import orders
toolbox.order.import_all_order|Import all orders
toolbox.order.order_import_success|Order %{marketplace_sku} from %{marketplace_name} is imported
toolbox.order.order_import_failed|Order import failed (<a href='%{log_url}' target='_blank'>See logs for more information</a>)
toolbox.configuration.shop_credentials|Shop credentials
toolbox.configuration.export_setting|Export settings
toolbox.configuration.import_setting|Import settings
toolbox.configuration.global_setting|Global settings
toolbox.configuration.get_default_settings|Get default settings
toolbox.configuration.check_get_default_settings|Do you really want to reset all settings?
toolbox.configuration.update_settings|Update settings
toolbox.configuration.check_update_settings|Do you really want to update settings and Lengow tables?
toolbox.configuration.button_save|Save settings
toolbox.checksum.checksum_integrity|File Checksum integrity
toolbox.checksum.file_not_exists|checkmd5.csv file is not available. Checking is impossible!
toolbox.checksum.summary|Summary
toolbox.checksum.file_checked|%{nb_file} files checked
toolbox.checksum.file_modified|%{nb_file} files changed
toolbox.checksum.file_deleted|%{nb_file} files deleted
toolbox.checksum.list_modified_file|Files changed list
toolbox.checksum.list_deleted_file|Files deleted list
toolbox.log.log_files|Log Files
toolbox.log.download_all|Download all files
